name,lat_ns_per_op,tp_ns_per_op,lat_intercept_ms,tp_intercept_ms,lat_r2,tp_r2,reliable
v_fcvt_f32off_i4,36.62,8.27,17.5423,17.5222,0.6759,0.7648,1
v_fcvt_f64_f32,22.88,43.86,17.5601,17.5007,0.9975,0.7995,1
v_fcvt_f64_i32,-14.06,13.69,17.5702,17.5130,0.6215,0.9242,0
v_fcvt_f64_u32,-20.31,15.09,17.5705,17.5115,0.6227,0.9803,0
v_fcvt_i16_f16,14.17,11.67,17.5142,17.5175,0.9420,0.7083,1
v_fcvt_i32_f32,43.54,15.26,17.5106,17.5307,0.7243,0.1030,0
v_fcvt_i32_f64,-22.98,18.30,17.5711,17.5272,0.6009,0.1232,0
v_fcvt_i32flr_f32,0.98,9.14,17.5351,17.5413,0.0009,0.0469,0
v_fcvt_i32rpi_f32,57.49,23.22,17.5159,17.5250,0.7729,0.2044,0
v_fcvt_u16_f16,12.92,-1.75,17.5190,17.5378,0.6529,0.0033,0
v_fcvt_u32_f32,19.96,13.44,17.5184,17.5172,0.9968,0.9831,1
v_fcvt_u32_f64,41.27,4.89,17.5328,17.5275,0.6676,0.0165,0
v_floor_f32,12.44,10.46,17.5246,17.5197,0.5967,0.4183,0
v_floor_f64,41.26,74.20,17.5117,17.5028,0.9997,0.9648,1
v_fma_f32,19.01,13.64,17.5182,17.5141,0.9092,0.9916,1
v_fma_legacy_f32,184.32,-118.78,17.4823,17.6792,0.6389,0.2117,0
v_fract_f32,8.94,14.49,17.5524,17.5168,0.0104,0.6886,0
v_fract_f64,43.30,34.91,17.5159,17.5111,0.9490,0.9911,1
v_frexp_exp_i32_f32,17.33,22.41,17.5209,17.5131,0.8274,0.8941,1
v_frexp_exp_i32_f64,19.51,6.15,17.5135,17.5207,0.9754,0.2898,0
v_frexp_mant_f32,19.69,10.36,17.5127,17.5153,0.9732,0.7041,1
v_frexp_mant_f64,31.17,20.63,17.5093,17.5086,0.9775,0.9712,1
v_ineg_i32,27.94,5.53,17.5080,17.5251,0.9825,0.4844,0
v_ldexp_f32,19.89,10.94,17.5259,17.5296,0.8538,0.9845,1
v_ldexp_f64,18.15,15.56,17.5254,17.5195,0.9273,0.7237,1
v_log2_f32,33.23,17.76,17.5292,17.5266,0.9625,0.9518,1
v_mac_f32,21.12,23.62,17.5234,17.5216,0.9969,0.9989,1
v_mad24_i32,21.11,-9.43,17.5231,17.5458,0.8680,0.1235,0
v_mad24_u32,19.42,18.23,17.5226,17.5187,0.9817,0.7945,1
v_mad_i32,22.89,13.81,17.5251,17.5137,0.8980,0.8401,1
v_mad_u32,28.22,9.72,17.5212,17.5197,0.4084,0.5091,0
v_max3_f32,18.03,14.32,17.5221,17.5250,0.8651,0.9635,1
v_max3_i32,22.99,12.68,17.5247,17.5267,0.9988,0.8874,1
v_max3_u32,17.39,4.73,17.5238,17.5246,0.6953,0.3030,0
v_max_f32,-10.75,33.97,17.5582,17.5368,0.1712,0.5408,0
v_max_i32,20.37,-0.20,17.5204,17.5599,0.9906,0.0000,0
v_max_u32,29.08,-23.17,17.5155,17.5678,0.9519,0.5801,0
v_mbcnt_u32,13.48,20.24,17.5274,17.5230,0.6064,0.2395,0
v_med3_f32,15.21,19.18,17.5215,17.5140,0.8829,0.9242,1
v_med3_i32,21.30,11.10,17.5221,17.5273,0.8122,0.6528,1
v_med3_u32,15.50,10.32,17.5200,17.5345,0.8986,0.1015,0
v_min3_f32,-15.05,46.66,17.5561,17.5191,0.2111,0.7503,0
v_min3_i32,31.92,5.00,17.5358,17.5486,0.3837,0.0140,0
v_min3_u32,-0.17,20.98,17.5446,17.5108,0.0001,0.9515,0
v_min_f32,21.24,8.43,17.5163,17.5414,0.8464,0.0482,0
v_min_i32,52.42,-27.31,17.5009,17.5698,0.8944,0.6692,0
v_min_u32,19.32,16.48,17.5206,17.5138,0.8574,0.9861,1
v_mma_323216_i8_i8_i32,61.97,62.94,17.5180,17.5175,0.9994,0.9983,1
v_mma_323216_i8_u8_i32,41.36,58.91,17.5391,17.5286,0.6514,0.7430,1
v_mma_323216_u8_i8_i32,63.06,57.43,17.5131,17.5260,0.9990,0.9929,1
v_mma_323216_u8_u8_i32,61.78,76.57,17.5200,17.5132,0.9957,0.9965,1
v_mma_8816_i8_i8_i32,-6.17,49.63,17.5504,17.5161,0.0287,0.7570,0
v_mma_8816_i8_u8_i32,-21.22,-1.14,17.5620,17.5377,0.5656,0.0013,0
v_mma_8816_u8_i8_i32,22.84,12.33,17.5107,17.5120,0.9864,0.9958,1
v_mma_8816_u8_u8_i32,18.54,17.14,17.5116,17.5141,0.9960,0.8382,1
v_mov_b32,-5.89,15.09,17.5422,17.5165,0.0370,0.6134,0
v_mul24_hi_i32,22.28,18.95,17.5134,17.5128,0.9339,0.9904,1
v_mul24_hi_u32,27.11,5.47,17.5097,17.5209,0.9702,0.5049,1
v_mul24_i32,23.92,109.63,17.5166,17.5244,0.9464,0.1511,0
v_mul24_u32,42.86,9.04,17.5290,17.5435,0.8154,0.0355,0
v_mul_f32,-1.62,13.83,17.5427,17.5174,0.0038,0.6406,0
v_mul_hi_i32,20.08,51.74,17.5167,17.5077,0.8837,0.8815,1
v_mul_hi_u32,50.26,1.34,17.5018,17.5526,0.8261,0.0013,0
v_mul_i32,-16.06,47.10,17.5567,17.5181,0.2408,0.7241,0
v_mul_legacy_f32,24.88,0.74,17.5248,17.5357,0.3269,0.0006,0
v_mul_u32,26.26,35.92,17.5339,17.5090,0.3022,0.6056,0
